INFO:MyNBA:Downloading players...
INFO:MyNBA:Downloading players...
INFO:PlayerApi:Alex Abrines saved.
INFO:PlayerApi:Quincy Acy saved.
INFO:PlayerApi:Steven Adams saved.
INFO:PlayerApi:Bam Adebayo saved.
INFO:PlayerApi:Arron Afflalo saved.
INFO:PlayerApi:Cole Aldrich saved.
INFO:PlayerApi:LaMarcus Aldridge saved.
INFO:PlayerApi:Jarrett Allen saved.
INFO:PlayerApi:Kadeem Allen saved.
INFO:PlayerApi:Tony Allen saved.
INFO:PlayerApi:Al-Farouq Aminu saved.
INFO:PlayerApi:Justin Anderson saved.
INFO:PlayerApi:Kyle Anderson saved.
INFO:PlayerApi:Ryan Anderson saved.
INFO:PlayerApi:Ike Anigbogu saved.
INFO:PlayerApi:Giannis Antetokounmpo saved.
INFO:PlayerApi:Carmelo Anthony saved.
INFO:PlayerApi:OG Anunoby saved.
INFO:PlayerApi:Ryan Arcidiacono saved.
INFO:PlayerApi:Trevor Ariza saved.
INFO:PlayerApi:Darrell Arthur saved.
INFO:PlayerApi:Jamel Artis saved.
INFO:PlayerApi:Omer Asik saved.
INFO:PlayerApi:D.J. Augustin saved.
INFO:PlayerApi:Luke Babbitt saved.
INFO:PlayerApi:Dwayne Bacon saved.
INFO:PlayerApi:Ron Baker saved.
INFO:PlayerApi:Wade Baldwin IV saved.
INFO:PlayerApi:Lonzo Ball saved.
INFO:PlayerApi:J.J. Barea saved.
INFO:PlayerApi:Harrison Barnes saved.
INFO:PlayerApi:Will Barton saved.
INFO:PlayerApi:Nicolas Batum saved.
INFO:PlayerApi:Jerryd Bayless saved.
INFO:PlayerApi:Aron Baynes saved.
INFO:PlayerApi:Kent Bazemore saved.
INFO:PlayerApi:Bradley Beal saved.
INFO:PlayerApi:Malik Beasley saved.
INFO:PlayerApi:Michael Beasley saved.
INFO:PlayerApi:Marco Belinelli saved.
INFO:PlayerApi:Jordan Bell saved.
INFO:PlayerApi:DeAndre' Bembry saved.
INFO:PlayerApi:Dragan Bender saved.
INFO:PlayerApi:Davis Bertans saved.
INFO:PlayerApi:Patrick Beverley saved.
INFO:PlayerApi:Khem Birch saved.
INFO:PlayerApi:Jabari Bird saved.
INFO:PlayerApi:Bismack Biyombo saved.
INFO:PlayerApi:Nemanja Bjelica saved.
INFO:PlayerApi:Tarik Black saved.
INFO:PlayerApi:Antonio Blakeney saved.
INFO:PlayerApi:Eric Bledsoe saved.
INFO:PlayerApi:Vander Blue saved.
INFO:PlayerApi:Bogdan Bogdanovic saved.
INFO:PlayerApi:Bojan Bogdanovic saved.
INFO:PlayerApi:Andrew Bogut saved.
INFO:PlayerApi:Joel Bolomboy saved.
INFO:PlayerApi:Devin Booker saved.
INFO:PlayerApi:Trevor Booker saved.
INFO:PlayerApi:Chris Boucher saved.
INFO:PlayerApi:Avery Bradley saved.
INFO:PlayerApi:Tony Bradley saved.
INFO:PlayerApi:Corey Brewer saved.
INFO:PlayerApi:Malcolm Brogdon saved.
INFO:PlayerApi:Aaron Brooks saved.
INFO:PlayerApi:Dillon Brooks saved.
INFO:PlayerApi:MarShon Brooks saved.
INFO:PlayerApi:Anthony Brown saved.
INFO:PlayerApi:Bobby Brown saved.
INFO:PlayerApi:Jaylen Brown saved.
INFO:PlayerApi:Lorenzo Brown saved.
INFO:PlayerApi:Markel Brown saved.
INFO:PlayerApi:Sterling Brown saved.
INFO:PlayerApi:Nicolas Brussino saved.
INFO:PlayerApi:Thomas Bryant saved.
INFO:PlayerApi:Reggie Bullock saved.
INFO:PlayerApi:Trey Burke saved.
INFO:PlayerApi:Alec Burks saved.
INFO:PlayerApi:Jimmy Butler saved.
INFO:PlayerApi:Dwight Buycks saved.
INFO:PlayerApi:Bruno Caboclo saved.
INFO:PlayerApi:Jose Calderon saved.
INFO:PlayerApi:Kentavious Caldwell-Pope saved.
INFO:PlayerApi:Isaiah Canaan saved.
INFO:PlayerApi:Clint Capela saved.
INFO:PlayerApi:DeMarre Carroll saved.
INFO:PlayerApi:Vince Carter saved.
INFO:PlayerApi:Michael Carter-Williams saved.
INFO:PlayerApi:Alex Caruso saved.
INFO:PlayerApi:Omri Casspi saved.
INFO:PlayerApi:Willie Cauley-Stein saved.
INFO:PlayerApi:Tyler Cavanaugh saved.
INFO:PlayerApi:Mario Chalmers saved.
INFO:PlayerApi:Tyson Chandler saved.
INFO:PlayerApi:Wilson Chandler saved.
INFO:PlayerApi:Marquese Chriss saved.
INFO:PlayerApi:Ian Clark saved.
INFO:PlayerApi:Jordan Clarkson saved.
INFO:PlayerApi:Gian Clavell saved.
INFO:PlayerApi:Antonius Cleveland saved.
INFO:PlayerApi:John Collins saved.
INFO:PlayerApi:Zach Collins saved.
INFO:PlayerApi:Kyle Collinsworth saved.
INFO:PlayerApi:Darren Collison saved.
INFO:PlayerApi:Nick Collison saved.
INFO:PlayerApi:Mike Conley saved.
INFO:PlayerApi:Pat Connaughton saved.
INFO:PlayerApi:Quinn Cook saved.
INFO:PlayerApi:Charles Cooke saved.
INFO:PlayerApi:Jack Cooley saved.
INFO:PlayerApi:Matt Costello saved.
INFO:PlayerApi:DeMarcus Cousins saved.
INFO:PlayerApi:Robert Covington saved.
INFO:PlayerApi:Allen Crabbe saved.
INFO:PlayerApi:Torrey Craig saved.
INFO:PlayerApi:Jamal Crawford saved.
INFO:PlayerApi:Jordan Crawford saved.
INFO:PlayerApi:Jae Crowder saved.
INFO:PlayerApi:Dante Cunningham saved.
INFO:PlayerApi:Stephen Curry saved.
INFO:PlayerApi:Troy Daniels saved.
INFO:PlayerApi:Anthony Davis saved.
INFO:PlayerApi:Deyonta Davis saved.
INFO:PlayerApi:Ed Davis saved.
INFO:PlayerApi:DeMar DeRozan saved.
INFO:PlayerApi:Dewayne Dedmon saved.
INFO:PlayerApi:Sam Dekker saved.
INFO:PlayerApi:Malcolm Delaney saved.
INFO:PlayerApi:Matthew Dellavedova saved.
INFO:PlayerApi:Luol Deng saved.
INFO:PlayerApi:Cheick Diallo saved.
INFO:PlayerApi:Gorgui Dieng saved.
INFO:PlayerApi:Spencer Dinwiddie saved.
INFO:PlayerApi:Tyler Dorsey saved.
INFO:PlayerApi:Damyean Dotson saved.
INFO:PlayerApi:Milton Doyle saved.
INFO:PlayerApi:PJ Dozier saved.
INFO:PlayerApi:Goran Dragic saved.
INFO:PlayerApi:Larry Drew II saved.
INFO:PlayerApi:Andre Drummond saved.
INFO:PlayerApi:Jared Dudley saved.
INFO:PlayerApi:Kris Dunn saved.
INFO:PlayerApi:Kevin Durant saved.
INFO:PlayerApi:Jarell Eddie saved.
INFO:PlayerApi:Henry Ellenson saved.
INFO:PlayerApi:Wayne Ellington saved.
INFO:PlayerApi:Joel Embiid saved.
INFO:PlayerApi:Tyler Ennis saved.
INFO:PlayerApi:James Ennis III saved.
INFO:PlayerApi:Jawun Evans saved.
INFO:PlayerApi:Jeremy Evans saved.
INFO:PlayerApi:Tyreke Evans saved.
INFO:PlayerApi:Dante Exum saved.
INFO:PlayerApi:Kenneth Faried saved.
INFO:PlayerApi:Derrick Favors saved.
INFO:PlayerApi:Kay Felder saved.
INFO:PlayerApi:Cristiano Felicio saved.
INFO:PlayerApi:Raymond Felton saved.
INFO:PlayerApi:Terrance Ferguson saved.
INFO:PlayerApi:Yogi Ferrell saved.
INFO:PlayerApi:Dorian Finney-Smith saved.
INFO:PlayerApi:Bryn Forbes saved.
INFO:PlayerApi:Evan Fournier saved.
INFO:PlayerApi:De'Aaron Fox saved.
INFO:PlayerApi:Tim Frazier saved.
INFO:PlayerApi:Channing Frye saved.
